name,centroid_lat,centroid_lon,drainage_area,elevation_mean,elevation_min,elevation_max
1022500,4967831.5248,569190.2615,840.0525,111.5651,15.7433,446.6796
1031500,5009297.4303,454321.889,773.5755,301.9838,109.974,796.7383
1047000,4982229.5484,408415.5911,904.476,375.1964,92.9717,1282.9083
1052500,4980973.9615,328699.0713,396.1299,644.4764,379.998,1105.9423
1054200,4908442.3921,335795.8257,181.1569,624.0434,207.135,1457.2142
1055000,4956641.7503,371295.3497,251.0755,565.1226,181.3696,1146.2112
1057000,4911311.7109,372427.2782,198.5122,280.6683,122.2174,733.8664
1073000,4780260.774,336943.7955,32.0641,58.6015,19.8788,115.2905
1078000,4827283.9491,266344.0031,222.3074,360.0136,135.3426,838.6112
1123000,4626599.8489,246293.5671,83.9903,148.7017,56.905,246.558
1134500,4939197.9212,277509.4808,208.9633,536.4746,322.6019,1040.608
1137500,4903052.0743,302479.8224,238.5816,739.1321,347.2504,1910.3062
1139000,4901139.8177,243413.2073,259.7746,414.7333,123.871,1019.0866
1139800,4887907.2093,230547.5054,24.752,542.3648,323.1688,733.5748
1142500,4878708.209,206370.3849,79.9266,401.5315,191.4756,702.6745
1144000,4846879.1907,226868.5497,4.9382,333.0334,114.6304,518.7276
1162500,4738371.3347,244756.849,125.6019,329.2258,257.997,569.0297
1169000,4738416.1902,190885.3685,233.7003,428.9643,134.0492,698.81
1170100,4744643.1917,196973.3088,109.3021,407.5371,125.2998,729.9298
1181000,4691453.1807,167696.0516,245.9515,430.8272,108.7644,676.7464
1187300,4666290.5481,171171.1253,53.9905,385.9188,162.7247,494.7508
1195100,4581401.6441,203123.433,15.8727,62.1499,1.7967,140.8155
4296000,4958422.1813,235920.9986,314.7082,382.5291,214.4252,800.7237
1333000,4729376.5869,152682.21,111.6485,472.5171,180.7193,1063.708
1350000,4691736.654,65436.9567,618.7585,650.95,344.4429,1227.4674
1350080,4707659.1456,60183.6281,89.9025,586.922,362.3128,1024.911
1350140,4714226.8324,44629.1402,46.2106,559.6959,267.658,842.9874
1365000,4654571.2481,49940.6795,103.0957,623.3324,258.3192,1164.1918
1411300,4371968.9757,-5182.6283,80.0047,16.7238,0.1274,31.2873
1413500,4687129.0646,41233.0532,436.7177,663.4076,391.9936,1177.4315
1414500,4674236.0221,32264.9338,67.4341,708.7182,383.78,1130.7566
1415000,4686697.2654,20902.9091,87.414,611.1378,391.3875,1018.4563
1423000,4698648.1573,15393.8842,868.9162,592.0542,362.0006,1014.828
1434025,4666000.0103,45786.6128,9.9934,869.5675,623.8598,1116.3872
1435000,4660500.705,43705.2738,183.9404,757.3876,439.8303,1267.6244
1439500,4580312.3314,-11243.7589,307.7409,385.803,125.432,623.7922
1440000,4578427.348,13785.1665,171.815,272.3568,100.0586,487.4948
1440400,4578562.2422,-23751.7538,180.1208,425.3876,180.5781,662.5506
1451800,4522605.3591,-65215.3669,150.2735,202.2396,105.577,469.522
1466500,4428155.7943,30397.5947,6.5501,43.7499,34.1194,58.6931
1484100,4325531.6165,-66434.1599,7.4381,16.1081,11.2531,18.8939
1487000,4315073.7089,-70219.2668,191.7149,14.6909,5.6098,21.2132
1491000,4346701.436,-80248.9929,302.6888,17.3745,1.9078,54.4217
1510000,4748685.5605,-57805.4454,383.3364,484.8198,315.4512,651.8578
